"","LOCATION","YEAR","MONTH","LATITUDE","LONGITUDE","ELEVATION","DP01","DP10","DP1X","EMXP","PRCP"
"1","vancover",1957,9.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"2","vancover",1958,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"3","vancover",1959,2,49.2,-123.1833,4,NA,NA,NA,NA,NA
"4","vancover",1977,9.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"5","vancover",1978,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"6","vancover",1979,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"7","vancover",1980,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"8","vancover",1981,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"9","vancover",1982,6.5,49.2,-123.1833,4,15.75,9.83333333333333,0.666666666666667,30.15,118.075
"10","vancover",1983,6.5,49.2,-123.1833,4,17.1666666666667,10.5833333333333,0.916666666666667,25.2083333333333,132.025
"11","vancover",1984,6.5,49.2,-123.1833,4,17.5,10.5833333333333,0.833333333333333,24.5666666666667,123.908333333333
"12","vancover",1985,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"13","vancover",1986,6.5,49.2,-123.1833,4,14.6666666666667,9.08333333333333,0.916666666666667,25.65,110.033333333333
"14","vancover",1987,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"15","vancover",1988,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"16","vancover",1989,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"17","vancover",1990,6.5,49.2,-123.1833,4,17.1666666666667,10.1666666666667,0.916666666666667,25.1666666666667,119.808333333333
"18","vancover",1991,6.5,49.2,-123.1833,4,NA,NA,NA,NA,NA
"19","vancover",1992,6.5,49.2,-123.1833,4,13.75,8.25,0.5,23.7083333333333,96.3666666666667
"20","vancover",1993,6.5,49.2,-123.1833,4,12.5,7.5,0.25,16.9916666666667,73.4833333333333
"21","vancover",1994,6.5,49.2,-123.1833,4,13.4166666666667,8,0.75,22.6916666666667,93.075
"22","vancover",1995,6.5,49.2,-123.1833,4,13.25,9.16666666666667,0.75,25.2,106.216666666667
"23","vancover",1996,6.5,49.2,-123.1833,4,14.4166666666667,9.75,1,25.3416666666667,118.75
"24","vancover",1997,6.5,49.2,-123.1833,4,15.75,9.66666666666667,0.916666666666667,26.8666666666667,124.3
"25","vancover",1998,6.5,49.2,-123.1833,4,14.25,7.83333333333333,0.5,20.0666666666667,97.8916666666667
"26","vancover",1999,6.42857142857143,49.2,-123.1833,4,20.7142857142857,14.4285714285714,1.71428571428571,35.7857142857143,188.657142857143
"27","vancover",2000,6.5,49.2,-123.1833,4,14.9166666666667,8,0.416666666666667,20.7166666666667,83.475
"28","vancover",2001,6.5,49.2,-123.1833,4,15.0833333333333,9.33333333333333,0.5,21.3083333333333,102.133333333333
"29","vancover",2002,6.5,49.2,-123.1833,4,13.25,7.25,0.0833333333333333,16.725,70.5
"30","vancover",2003,6.5,49.2,-123.1833,4,12.6666666666667,7.75,0.666666666666667,23.175,93.2583333333333
"31","vancover",2004,6.5,49.2,-123.1833,4,15.0833333333333,8.5,0.75,24.125,101.166666666667
"32","vancover",2006,6.5,49.2,-123.1833,4,14.5,9.41666666666667,0.75,20.6583333333333,101.416666666667
"33","vancover",2007,6.5,49.2,-123.1833,4,16.4166666666667,9.83333333333333,0.666666666666667,28.625,110.625
"34","vancover",2008,6.5,49.2,-123.1833,4,14.3333333333333,9.16666666666667,0.25,19.825,87.1416666666667
"35","vancover",2009,6.5,49.2,-123.1833,4,12,8.25,0.583333333333333,19.775,91.4666666666667
"36","vancover",2010,6.5,49.2,-123.1833,4,15.25,9.33333333333333,0.666666666666667,24.95,100.358333333333
"37","vancover",2011,6.5,49.2,-123.1833,4,13.9166666666667,9,0.25,19.6166666666667,89.025
"38","vancover",2012,6.5,49.2,-123.1833,4,15.25,9.25,0.333333333333333,19.2,100.125
"39","vancover",2013,6.54545454545455,49.2,-123.1833,4,13.0909090909091,6.63636363636364,0.454545454545455,22.1272727272727,79.8181818181818
"40","vancover",2014,6.5,49.2,-123.1833,4,12.1666666666667,8.91666666666667,0.666666666666667,20.5666666666667,105.05
"41","vancover",2015,6.5,49.2,-123.1833,4,11.4166666666667,7.75,0.75,22.3333333333333,94.5666666666667
"42","vancover",2016,6.5,49.2,-123.1833,4,14.75,9.41666666666667,0.416666666666667,20.3666666666667,109.566666666667
"43","vancover",2017,6.5,49.2,-123.1833,4,12.1666666666667,8.66666666666667,0.916666666666667,22.6666666666667,101.725
"44","vancover",2018,6.5,49.2,-123.1833,4,13.0833333333333,9.25,0.666666666666667,24.45,111.95
"45","vancover",2019,6.5,49.2,-123.1833,4,11.9166666666667,7.75,0.333333333333333,23.0833333333333,80.475
"46","vancover",2020,6.5,49.2,-123.1833,4,14.0833333333333,8.58333333333333,0.666666666666667,21.2083333333333,95.0333333333333
"47","vancover",2021,6.5,49.2,-123.1833,4,13.25,8,0.666666666666667,24.0833333333333,96.3
"48","vancover",2022,6.90909090909091,49.2,-123.1833,4,12.0909090909091,7.72727272727273,0.545454545454545,22.4,88.5
"49","vancover",2023,1,49.2,-123.1833,4,20,13,0,21.2,122.7
